,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,2.4205,2.243,2.2705,0.053,2.381,0.419,0.388,0.369,0.991,0.3815,2.509,2.187,2.1905,3.2675,2.3765,0.3365,0.357,0.361,0.298,0.3475
1,5657,3.9385,3.7855,3.964,0.0445,4.2375,0.3385,0.362,0.295,0.993,0.3045,4.1475,3.911,3.8315,5.4025,4.1485,0.2835,0.2705,0.2915,0.2,0.2755
2,2743,12.171,10.3865,11.49,2.954,13.121,0.222,0.2235,0.168,0.7865,0.176,13.7195,11.858,12.168,14.4855,14.225,0.134,0.1265,0.116,0.1175,0.144
3,6049,0.71,0.6515,0.6505,0.009,0.665,0.5665,0.538,0.5325,0.9955,0.5465,0.775,0.61,0.6085,1.282,0.6585,0.515,0.543,0.5415,0.443,0.5375
4,5852,1.239,1.281,1.1625,0.028,1.16,0.4965,0.46,0.4475,0.994,0.4685,1.422,1.239,1.1675,2.0435,1.2215,0.412,0.439,0.448,0.371,0.4425
5,6659,0.885,0.823,0.8015,0.0195,0.864,0.5355,0.5075,0.5045,0.993,0.5155,0.9805,0.796,0.7595,1.5265,0.916,0.459,0.503,0.5135,0.3975,0.4725
6,9076,8.6365,8.4895,8.8835,0.095,8.747,0.253,0.239,0.247,0.992,0.2565,8.999,8.593,8.794,10.869,8.987,0.2075,0.1835,0.2105,0.147,0.1985
7,470,0.6825,0.6155,0.6155,0.013,0.636,0.5965,0.5685,0.5685,0.9915,0.568,0.7645,0.5915,0.5915,5.245,0.604,0.5235,0.5555,0.5555,0.407,0.553
8,357,1.0845,0.974,1.0215,0.0055,1.018,0.5235,0.504,0.4955,0.9975,0.485,1.211,0.9635,1.017,1.841,1.0115,0.4445,0.4825,0.478,0.3595,0.4895
9,5088,6.503,6.771,6.826,0.096,6.689,0.3135,0.262,0.276,0.9895,0.2715,6.94,6.6415,7.0685,8.688,6.9465,0.2075,0.229,0.2225,0.172,0.2175
10,7605,1.361,1.237,1.233,0.0275,1.2765,0.479,0.4525,0.446,0.993,0.449,1.59,1.209,1.198,2.545,1.3985,0.3785,0.4215,0.4245,0.302,0.405
11,9549,0.5435,0.5015,0.5025,0.0125,0.51,0.625,0.6065,0.6055,0.9935,0.608,0.7305,0.5875,0.5875,1.2445,0.588,0.5355,0.5685,0.5685,0.4535,0.568
12,8231,1.0145,0.921,0.8925,0.0185,0.9535,0.527,0.5015,0.4885,0.9915,0.49,1.124,0.9645,0.8585,1.672,1.007,0.4495,0.4795,0.4915,0.368,0.472
13,8408,0.6645,0.6,0.602,0.01,0.616,0.567,0.5505,0.5485,0.996,0.546,0.771,0.6185,0.621,1.203,0.637,0.512,0.5345,0.5335,0.4385,0.528
14,5763,1.444,1.3375,1.197,0.029,1.3175,0.4645,0.452,0.42,0.9875,0.429,1.658,1.471,1.267,2.503,1.639,0.3825,0.4155,0.4185,0.3325,0.378
15,7226,1.8315,1.782,1.768,0.0395,1.7725,0.4565,0.44,0.4305,0.9925,0.4235,1.858,1.7005,1.6745,2.688,1.7385,0.38,0.385,0.398,0.3325,0.396
16,9244,0.6245,0.588,0.5885,0.0055,0.5905,0.5825,0.563,0.5625,0.9945,0.5655,0.744,0.6235,0.6235,1.187,0.6885,0.515,0.544,0.544,0.429,0.524
17,2257,7.1235,6.7275,7.2495,0.099,6.843,0.284,0.284,0.2785,0.9915,0.2755,7.8975,7.266,7.664,10.0085,7.865,0.1985,0.198,0.201,0.1625,0.202
18,4295,1.191,1.1505,1.0165,0.012,1.0785,0.5025,0.4875,0.46,0.9955,0.4865,1.39,1.211,1.0695,1.9005,1.2115,0.4095,0.437,0.451,0.359,0.4365
19,8433,0.8855,0.786,0.7905,0.0305,0.812,0.5465,0.511,0.508,0.9915,0.5175,1.0665,0.844,0.8315,1.585,0.9535,0.474,0.498,0.499,0.3785,0.484
