,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,2.645,2.4425,2.469,0.0585,2.5715,0.4005,0.3895,0.404,0.9925,0.357,2.7935,2.563,2.5165,4.0845,2.6785,0.317,0.33,0.317,0.284,0.3275
1,5657,4.273,4.164,4.218,0.0835,4.2385,0.344,0.328,0.2985,0.9905,0.3125,4.7655,4.4225,4.3625,6.202,4.305,0.2685,0.274,0.2635,0.1945,0.274
2,2743,11.796,11.1375,10.7345,2.8535,11.9175,0.2305,0.2465,0.3065,0.7805,0.196,13.491,13.0525,12.958,15.59,13.3365,0.1375,0.1275,0.1315,0.1205,0.156
3,6049,1.1905,1.043,1.0305,0.02,1.1535,0.4995,0.4685,0.442,0.995,0.452,1.2805,1.065,0.9615,2.0765,1.277,0.428,0.4475,0.4645,0.3595,0.4235
4,5852,1.715,2.138,1.6105,0.013,1.527,0.452,0.409,0.4055,0.9945,0.4225,1.9655,1.7235,1.6105,2.788,1.7515,0.3825,0.387,0.3885,0.3225,0.3795
5,6659,1.349,1.318,1.1635,0.0435,1.2625,0.4795,0.4495,0.4255,0.9905,0.4535,1.531,1.4365,1.0945,2.4165,1.4175,0.393,0.4055,0.4375,0.3375,0.4095
6,9076,8.9515,8.9495,9.067,1.4355,9.179,0.2585,0.251,0.234,0.8525,0.2395,9.265,9.1445,8.738,10.656,9.649,0.1905,0.1835,0.197,0.138,0.1945
7,470,1.128,0.94,0.939,0.0155,1.018,0.507,0.466,0.4585,0.995,0.4815,1.225,0.9565,0.938,1.67,1.091,0.4515,0.477,0.4805,0.404,0.469
8,357,1.422,1.358,1.291,0.0145,1.411,0.484,0.456,0.4215,0.994,0.419,1.6235,1.389,1.249,2.8025,1.531,0.3915,0.4135,0.4305,0.349,0.3975
9,5088,6.619,7.064,6.811,0.071,6.7865,0.292,0.271,0.2615,0.989,0.254,7.4605,7.132,7.109,8.913,6.8215,0.208,0.217,0.219,0.154,0.2055
10,7605,1.892,1.6125,1.6,0.045,1.643,0.446,0.401,0.405,0.992,0.415,2.043,1.652,1.655,2.9055,1.79,0.355,0.3845,0.396,0.313,0.378
11,9549,0.92,0.845,0.8455,0.0215,0.854,0.533,0.51,0.507,0.992,0.5165,1.139,0.9495,0.9355,1.7015,0.9595,0.437,0.4635,0.464,0.393,0.4635
12,8231,1.398,1.234,1.249,0.0375,1.2795,0.4895,0.4515,0.439,0.9905,0.4525,1.639,1.262,1.229,4.663,1.4535,0.3925,0.4335,0.427,0.316,0.4275
13,8408,1.03,0.9075,0.9125,0.012,0.939,0.5025,0.4885,0.4695,0.995,0.4685,1.24,0.9985,0.9815,1.933,1.01,0.432,0.446,0.45,0.326,0.447
14,5763,1.6695,1.598,1.5495,0.017,1.7085,0.452,0.44,0.405,0.995,0.428,2.1315,1.8595,1.7435,2.995,2.0065,0.3495,0.371,0.3835,0.306,0.3555
15,7226,2.2895,2.138,2.0,0.041,2.1255,0.418,0.388,0.367,0.991,0.3765,2.2645,1.962,1.859,3.5415,2.1705,0.357,0.371,0.3705,0.3025,0.363
16,9244,1.009,0.972,0.891,0.012,0.935,0.5165,0.487,0.4835,0.995,0.4825,1.145,0.992,0.927,1.695,1.0245,0.451,0.4595,0.469,0.408,0.4625
17,2257,7.499,7.67,7.6895,0.1125,7.447,0.2875,0.2535,0.2635,0.9895,0.26,7.982,8.4315,8.737,12.3645,8.3505,0.1965,0.198,0.202,0.161,0.21
18,4295,1.481,1.612,1.34,0.029,1.42,0.4595,0.419,0.408,0.9875,0.4355,1.898,1.7455,1.426,2.7835,1.7065,0.3545,0.381,0.408,0.322,0.3815
19,8433,1.354,1.2415,1.316,0.0225,1.2405,0.4935,0.471,0.5165,0.9905,0.4665,1.432,1.2825,1.4215,2.2965,1.28,0.414,0.4425,0.4185,0.3205,0.4465
