,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,4.627,1.692,3.099,1.9175,3.666,0.2735,0.747,0.546,0.7425,0.2405,4.88,13.2585,10.5925,9.964,2.4615,0.1435,0.1005,0.1345,0.1235,0.3045
1,5657,0.614,0.9055,0.7105,0.1335,0.487,0.621,0.538,0.5855,0.902,0.623,6.075,8.146,6.9825,7.4175,1.939,0.24,0.2245,0.244,0.2215,0.3695
2,2743,3.2435,1.3145,1.88,1.388,2.079,0.312,0.7645,0.64,0.754,0.341,3.8705,8.8235,7.4195,6.2745,1.339,0.152,0.1685,0.198,0.165,0.423
3,6049,2.4,0.686,1.377,0.768,1.434,0.3655,0.7995,0.625,0.7725,0.395,5.3895,10.0635,9.116,7.7475,1.4465,0.1465,0.1315,0.1355,0.159,0.3685
4,5852,1.905,0.5425,0.7475,0.6455,1.099,0.3865,0.798,0.7555,0.7745,0.4195,6.046,11.9925,10.392,7.456,1.225,0.132,0.118,0.121,0.144,0.4205
5,6659,0.7245,0.1355,0.421,0.1375,0.532,0.577,0.892,0.7645,0.8915,0.58,6.5785,9.16,8.52,7.227,2.764,0.1745,0.1745,0.177,0.1995,0.3995
6,9076,0.7535,0.2235,0.7905,0.2385,0.5855,0.5285,0.863,0.5995,0.856,0.538,5.441,7.5385,7.409,8.4345,1.2075,0.209,0.218,0.2045,0.1985,0.442
7,470,2.2495,0.881,2.053,0.908,1.546,0.355,0.7545,0.4945,0.752,0.338,4.5335,7.9695,8.182,7.6645,1.3425,0.1475,0.151,0.152,0.167,0.3935
8,357,1.683,0.5745,1.5205,0.5465,1.0635,0.39,0.7975,0.54,0.781,0.401,6.6045,10.052,8.487,7.648,1.4645,0.138,0.1205,0.125,0.1445,0.3205
9,5088,0.4905,0.122,0.63,0.1275,0.4195,0.65,0.9105,0.614,0.9065,0.6325,6.784,6.692,7.2815,8.448,1.932,0.2295,0.27,0.232,0.215,0.393
10,7605,0.6555,0.1525,0.3665,0.1715,0.4325,0.585,0.8845,0.7715,0.8715,0.621,6.3905,9.0705,7.203,7.2615,1.631,0.176,0.167,0.1755,0.1955,0.336
11,9549,1.0795,0.253,0.8715,0.2675,0.622,0.4905,0.844,0.6195,0.834,0.529,6.42,11.308,9.892,7.6715,1.089,0.151,0.1375,0.148,0.166,0.398
12,8231,2.04,0.686,1.9815,0.6825,1.404,0.3785,0.783,0.5245,0.777,0.3775,5.5785,10.5685,11.272,7.7765,1.4245,0.128,0.096,0.0875,0.129,0.4255
13,8408,0.8675,0.204,0.541,0.2165,0.5315,0.509,0.8585,0.714,0.848,0.5605,6.3575,9.65,8.31,7.18,1.175,0.155,0.139,0.135,0.179,0.379
14,5763,0.574,0.955,0.4105,0.1525,0.45,0.608,0.526,0.731,0.896,0.6115,6.285,10.531,6.511,8.622,2.6465,0.204,0.2105,0.209,0.207,0.3265
15,7226,3.345,1.269,1.484,1.329,2.329,0.302,0.7485,0.699,0.7405,0.3175,4.2015,12.6985,11.4685,8.591,1.3865,0.1295,0.0965,0.125,0.121,0.4395
16,9244,1.4355,0.388,0.8625,0.386,0.7635,0.4145,0.8135,0.646,0.806,0.4725,5.9245,10.448,8.995,7.863,1.848,0.145,0.1075,0.117,0.172,0.321
17,2257,0.9295,0.245,0.7585,0.2545,0.6535,0.515,0.8515,0.648,0.8445,0.521,6.4715,9.579,7.916,7.869,2.1835,0.1715,0.16,0.161,0.1815,0.3945
18,4295,2.3275,0.7255,0.7475,0.728,1.2625,0.3565,0.7795,0.7725,0.755,0.385,5.7005,11.8375,10.025,8.1815,1.1295,0.126,0.119,0.119,0.159,0.4655
19,8433,3.534,1.3505,1.0675,1.147,1.9965,0.322,0.7525,0.748,0.7385,0.3485,3.946,12.638,11.1905,7.5455,1.0315,0.1335,0.097,0.11,0.1285,0.514
