,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,4.9285,1.8345,1.9215,1.867,4.157,0.2515,0.7785,0.77,0.7745,0.221,5.3685,13.004,12.213,9.8945,2.852,0.1325,0.096,0.099,0.132,0.2735
1,5657,0.851,1.407,0.996,0.169,0.7175,0.5525,0.4705,0.5185,0.9035,0.546,6.2735,9.74,6.396,7.5915,2.954,0.242,0.2085,0.244,0.2075,0.3075
2,2743,4.0355,1.3495,1.377,1.555,2.9945,0.2965,0.7925,0.7815,0.7325,0.27,4.5825,10.106,8.4845,6.775,2.206,0.126,0.1235,0.1435,0.1435,0.272
3,6049,2.88,0.861,2.0805,0.8665,2.1695,0.3455,0.834,0.6065,0.828,0.334,5.7275,9.737,8.4845,8.046,2.171,0.147,0.116,0.128,0.1345,0.277
4,5852,2.286,3.081,0.6395,0.6195,1.7715,0.3465,0.274,0.8175,0.823,0.3345,6.1765,11.195,10.3475,8.2305,2.0455,0.119,0.0915,0.1,0.123,0.2605
5,6659,1.0965,1.5225,0.9395,0.224,0.8185,0.4895,0.437,0.6605,0.889,0.4775,6.523,11.4085,8.6725,7.1995,2.0365,0.17,0.1605,0.1665,0.176,0.2705
6,9076,1.07,1.5675,1.267,0.2915,0.9375,0.4855,0.4485,0.4305,0.8785,0.473,6.318,10.676,6.453,8.59,1.897,0.208,0.1965,0.198,0.1735,0.299
7,470,2.849,0.884,1.9885,0.8935,2.36,0.322,0.8045,0.582,0.8005,0.2745,5.287,8.606,7.095,7.631,2.3905,0.138,0.1255,0.144,0.1245,0.2605
8,357,2.221,0.5945,1.5675,0.644,1.6555,0.3625,0.828,0.6015,0.814,0.335,6.8185,10.35,8.3675,8.351,2.3685,0.1345,0.1145,0.122,0.1225,0.211
9,5088,0.7665,0.143,0.533,0.1715,0.6065,0.578,0.9235,0.755,0.9085,0.5755,6.8535,7.5635,8.817,7.124,2.11,0.2305,0.233,0.2105,0.2145,0.315
10,7605,0.9125,1.4795,1.0725,0.2185,0.725,0.519,0.448,0.495,0.884,0.526,7.058,11.1655,8.6675,7.868,3.1265,0.1845,0.1655,0.159,0.1585,0.257
11,9549,1.415,2.1545,0.925,0.3685,1.0825,0.4325,0.3325,0.665,0.853,0.42,6.2725,8.911,8.656,7.4185,1.924,0.1535,0.118,0.138,0.1465,0.293
12,8231,2.6005,3.439,2.255,0.739,1.9485,0.319,0.261,0.5125,0.808,0.3235,6.14,9.521,9.4165,8.345,2.2815,0.119,0.071,0.11,0.1455,0.231
13,8408,1.1785,0.294,1.441,0.2945,0.882,0.4525,0.873,0.406,0.871,0.4645,6.6535,9.724,8.877,7.5695,2.0975,0.148,0.1225,0.1305,0.1465,0.243
14,5763,0.831,1.221,0.986,0.164,0.674,0.5735,0.4745,0.537,0.9075,0.5525,7.2005,10.343,8.2525,7.4375,3.3015,0.1825,0.196,0.198,0.176,0.2625
15,7226,4.09,1.2895,4.1985,1.2545,3.044,0.283,0.805,0.287,0.801,0.261,4.785,12.621,5.332,9.226,2.2585,0.1275,0.089,0.1645,0.117,0.2465
16,9244,1.802,2.4845,1.9765,0.4935,1.3015,0.3825,0.3045,0.3605,0.8295,0.3825,6.821,10.5075,7.9875,7.7895,2.665,0.1325,0.1,0.1655,0.1375,0.2275
17,2257,1.242,1.647,1.4545,0.311,0.998,0.461,0.396,0.4535,0.863,0.4495,6.958,9.5735,9.419,7.6945,2.6,0.1625,0.155,0.1415,0.17,0.2435
18,4295,2.6815,0.7095,2.3345,0.784,1.9375,0.332,0.8185,0.5065,0.785,0.33,5.7185,10.983,9.144,7.6255,1.961,0.1075,0.1,0.112,0.1455,0.2935
19,8433,4.183,1.432,4.423,1.6005,3.0305,0.2795,0.7745,0.286,0.73,0.2695,4.8325,12.7995,4.5835,7.2625,1.847,0.115,0.0835,0.175,0.128,0.3355
