,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,4.9315,4.907,4.683,0.253,4.762,0.338,0.326,0.305,0.961,0.2985,4.8535,5.0525,4.531,6.9105,4.5625,0.2715,0.2255,0.2815,0.2145,0.278
1,5657,6.3165,6.5405,6.873,0.352,6.205,0.294,0.278,0.2625,0.9515,0.264,6.756,6.5995,6.767,8.666,6.9615,0.2345,0.2175,0.2215,0.141,0.23
2,2743,12.7635,11.6965,11.4595,0.203,13.7245,0.2225,0.2385,0.1605,0.9895,0.192,14.694,14.209,12.4805,15.6955,15.5445,0.133,0.12,0.116,0.12,0.1305
3,6049,4.1465,4.3155,4.1635,0.091,3.696,0.341,0.3535,0.3375,0.9885,0.3235,4.11,4.4615,4.388,5.228,3.795,0.2695,0.2805,0.271,0.208,0.278
4,5852,4.242,5.7035,4.294,0.062,4.044,0.352,0.3005,0.3245,0.993,0.3105,4.621,5.34,4.604,5.7435,4.4025,0.266,0.258,0.27,0.222,0.265
5,6659,3.8775,3.8505,3.559,0.074,3.6085,0.3405,0.319,0.313,0.992,0.3055,3.8805,3.8985,3.5975,5.019,3.806,0.2825,0.2565,0.281,0.236,0.265
6,9076,10.326,11.4475,11.5015,2.3315,10.0135,0.2505,0.229,0.2215,0.832,0.2225,11.0525,11.2525,11.2015,11.976,10.664,0.1785,0.1845,0.189,0.1615,0.1835
7,470,3.5,3.5565,3.5305,0.0605,3.251,0.36,0.349,0.3695,0.9895,0.337,3.34,3.497,3.475,4.4925,3.585,0.304,0.2945,0.299,0.2615,0.2895
8,357,4.072,3.6795,3.704,0.08,3.863,0.3505,0.3435,0.2975,0.993,0.3025,4.4545,3.811,3.7395,6.8685,3.7825,0.26,0.268,0.281,0.1885,0.2925
9,5088,7.958,8.315,8.303,1.5545,8.205,0.284,0.2525,0.256,0.868,0.2435,8.717,8.2465,8.853,11.321,9.079,0.1785,0.166,0.1935,0.1275,0.1935
10,7605,4.5045,4.6335,4.593,0.0815,4.2305,0.3655,0.344,0.336,0.9915,0.3325,4.599,4.658,4.687,5.879,4.0055,0.2505,0.2655,0.2615,0.236,0.2645
11,9549,3.5915,3.645,3.112,0.0915,3.5035,0.363,0.356,0.296,0.9825,0.3335,3.976,4.111,3.437,5.249,3.819,0.285,0.268,0.2785,0.193,0.265
12,8231,4.137,3.714,3.438,0.107,3.399,0.358,0.3585,0.3925,0.9905,0.3125,4.15,3.929,3.8085,6.151,3.7745,0.277,0.285,0.287,0.2145,0.285
13,8408,3.571,3.1075,2.982,0.0365,3.09,0.3635,0.369,0.3195,0.99,0.347,3.861,3.268,3.1125,5.3305,3.6825,0.2675,0.2855,0.296,0.22,0.273
14,5763,4.276,4.1155,4.037,0.0655,4.0325,0.3475,0.338,0.3605,0.992,0.3235,4.778,4.585,4.5885,5.965,4.582,0.267,0.265,0.256,0.228,0.2675
15,7226,4.722,0.1225,4.658,0.1225,4.3135,0.325,0.9905,0.2865,0.9905,0.292,4.948,5.6895,4.6005,6.4345,4.5365,0.2695,0.249,0.2665,0.244,0.2785
16,9244,3.4875,3.2295,3.082,0.0555,3.0105,0.3665,0.358,0.324,0.9885,0.3445,3.61,3.1935,3.115,4.765,3.2065,0.279,0.2925,0.283,0.235,0.29
17,2257,8.8985,8.8805,8.747,0.105,9.0205,0.264,0.2375,0.254,0.9915,0.2395,9.5355,10.1745,9.7515,10.9825,10.1765,0.182,0.154,0.181,0.1565,0.1775
18,4295,3.7825,3.603,3.4615,0.0395,3.659,0.3575,0.341,0.322,0.992,0.317,4.4775,3.9685,3.9645,5.731,4.15,0.2595,0.252,0.256,0.233,0.252
19,8433,3.905,3.689,3.408,0.054,3.613,0.357,0.351,0.304,0.994,0.3295,4.093,3.752,3.59,5.5625,3.7575,0.285,0.269,0.2865,0.2445,0.286
