,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,8.8935,15.867,8.6345,0.133,7.6425,0.3915,0.3195,0.3945,0.9925,0.383,15.291,22.2105,14.8135,11.2995,13.655,0.0845,0.0255,0.0895,0.121,0.082
1,5657,4.223,0.0615,4.7815,0.082,3.275,0.341,0.993,0.303,0.989,0.3205,3.4045,4.629,3.651,4.6085,2.9995,0.321,0.282,0.298,0.2725,0.334
2,2743,8.5365,15.09,7.7305,0.0645,7.8,0.42,0.339,0.4255,0.9895,0.395,15.208,20.7915,13.9425,11.1225,13.9505,0.07,0.018,0.079,0.114,0.0825
3,6049,7.511,15.3745,7.655,0.097,6.823,0.4065,0.3085,0.4035,0.9925,0.3885,10.5275,20.7725,11.903,10.108,10.309,0.104,0.034,0.0985,0.1285,0.099
4,5852,7.934,16.3305,7.9325,0.0665,7.185,0.3855,0.3015,0.389,0.9945,0.3705,10.3975,20.0145,9.9035,8.7585,10.049,0.124,0.043,0.126,0.139,0.1285
5,6659,5.243,0.0445,8.0595,0.045,4.035,0.352,0.993,0.296,0.9925,0.335,4.5565,7.2075,8.6585,5.5445,4.0995,0.256,0.214,0.197,0.2305,0.264
6,9076,4.9065,12.8485,6.352,0.105,4.041,0.3555,0.261,0.3185,0.986,0.3365,5.0445,11.979,6.07,6.261,4.7615,0.2305,0.174,0.204,0.1685,0.2185
7,470,7.255,14.8025,10.6385,0.169,7.029,0.39,0.314,0.3455,0.99,0.3705,12.314,17.758,14.7425,10.627,10.782,0.099,0.0435,0.064,0.116,0.1115
8,357,7.779,16.3695,7.408,0.142,6.1495,0.3935,0.291,0.389,0.9915,0.3815,11.7395,19.764,11.177,9.251,9.7625,0.128,0.0495,0.132,0.12,0.1335
9,5088,3.9615,0.072,4.7765,0.0765,2.9555,0.366,0.9915,0.2745,0.991,0.3265,3.363,4.428,3.7795,4.771,2.844,0.326,0.278,0.2865,0.263,0.3305
10,7605,5.238,14.747,5.1115,0.2775,3.9965,0.358,0.236,0.358,0.958,0.318,4.3975,11.7075,4.376,5.6485,4.044,0.268,0.18,0.2705,0.2435,0.2645
11,9549,5.6175,15.1015,5.556,0.0295,4.7255,0.382,0.2635,0.387,0.993,0.366,7.679,19.7675,8.079,7.2095,6.774,0.1865,0.0855,0.1855,0.172,0.192
12,8231,7.862,15.7175,7.441,0.105,7.1075,0.396,0.31,0.3935,0.9925,0.3735,11.3005,19.0255,11.294,9.643,10.4395,0.1,0.0325,0.1005,0.133,0.1105
13,8408,6.1265,15.54,5.9885,0.5335,4.9475,0.354,0.2435,0.3635,0.9445,0.3425,6.138,16.873,6.021,7.191,5.9195,0.202,0.105,0.205,0.1825,0.2015
14,5763,4.5415,7.551,5.0615,0.1665,3.9285,0.343,0.281,0.2735,0.9685,0.327,4.051,6.4765,4.4445,5.824,3.826,0.2885,0.2135,0.2205,0.231,0.298
15,7226,8.8485,16.9195,9.0365,0.0745,8.103,0.4025,0.3225,0.405,0.9945,0.395,15.2855,22.3865,14.996,11.898,13.564,0.0575,0.0125,0.0595,0.1015,0.0775
16,9244,7.105,16.8075,7.0335,0.0735,6.0915,0.3885,0.284,0.393,0.994,0.361,9.0135,19.524,10.036,8.0655,8.09,0.1495,0.057,0.1445,0.161,0.144
17,2257,5.664,14.0605,5.4655,0.086,4.7155,0.3765,0.2565,0.378,0.991,0.354,6.018,15.34,5.6415,6.6575,5.8455,0.2015,0.1015,0.2105,0.166,0.1955
18,4295,8.2425,16.6405,8.456,0.139,7.135,0.401,0.3125,0.3975,0.9855,0.3885,13.1205,21.3425,13.229,11.0485,10.815,0.081,0.028,0.085,0.122,0.0975
19,8433,8.176,15.9125,8.152,0.102,7.6555,0.425,0.3395,0.425,0.9935,0.414,14.332,21.076,14.009,10.727,13.7805,0.0635,0.011,0.0735,0.117,0.06
