,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,6.559,5.431,6.883,1.2375,6.0875,0.2365,0.148,0.232,0.897,0.194,8.4245,11.7255,8.919,12.3695,7.094,0.095,0.057,0.108,0.0905,0.0995
1,5657,2.063,0.075,1.734,0.0775,1.819,0.4445,0.9695,0.575,0.9685,0.408,8.489,9.0275,9.0105,7.5785,6.2005,0.19,0.182,0.181,0.169,0.1925
2,2743,5.6875,4.758,4.849,0.801,4.7785,0.2385,0.215,0.229,0.909,0.212,7.595,10.7715,10.912,11.393,5.6915,0.098,0.0585,0.0635,0.091,0.1135
3,6049,4.495,4.3495,3.8465,0.6635,4.203,0.295,0.254,0.456,0.914,0.277,8.239,10.914,10.522,10.2705,6.1625,0.1055,0.0935,0.113,0.1025,0.118
4,5852,3.4475,3.581,3.666,0.38,3.493,0.301,0.2745,0.3375,0.9235,0.2695,8.6175,10.6865,11.934,11.1935,7.091,0.111,0.0865,0.1065,0.103,0.124
5,6659,2.3165,0.148,2.5465,0.16,2.015,0.389,0.9505,0.376,0.9495,0.3845,7.8685,9.169,9.3955,8.132,5.917,0.149,0.157,0.15,0.146,0.15
6,9076,2.0975,2.9435,2.389,0.191,1.8965,0.4145,0.3435,0.389,0.948,0.3765,8.471,11.3025,9.239,9.3365,6.181,0.163,0.16,0.162,0.136,0.1625
7,470,4.265,3.8915,4.4355,0.9555,3.9555,0.2895,0.2635,0.268,0.8275,0.246,8.361,9.6185,9.788,11.2925,7.338,0.1075,0.086,0.101,0.1055,0.104
8,357,3.4225,3.564,3.6385,0.365,3.2795,0.3065,0.3045,0.276,0.917,0.266,8.9355,11.243,10.531,10.295,6.964,0.1045,0.1005,0.103,0.1,0.116
9,5088,1.736,0.0925,0.861,0.1055,1.4585,0.4615,0.9625,0.7795,0.9585,0.4435,8.4565,8.461,8.7125,8.2965,5.9325,0.1805,0.168,0.167,0.161,0.187
10,7605,1.9965,0.158,1.8055,0.158,1.8325,0.41,0.9485,0.5535,0.947,0.3975,8.8615,10.368,10.836,8.384,6.1935,0.165,0.1515,0.1525,0.162,0.1685
11,9549,2.6845,0.211,2.3835,0.2025,2.475,0.352,0.94,0.4875,0.94,0.331,8.2885,9.927,9.962,8.7945,6.3565,0.1235,0.116,0.1185,0.114,0.1365
12,8231,3.8275,3.7485,3.996,0.601,3.4065,0.284,0.2615,0.259,0.897,0.267,8.805,10.088,10.782,11.168,7.058,0.0995,0.072,0.0905,0.1055,0.107
13,8408,2.3045,2.6895,1.758,0.18,2.1675,0.3895,0.342,0.5925,0.9345,0.368,8.554,10.865,9.04,9.4015,7.178,0.1285,0.1245,0.1205,0.1205,0.148
14,5763,2.079,0.1145,1.051,0.1345,1.7525,0.432,0.953,0.7485,0.9455,0.4115,8.332,9.007,8.736,8.2135,6.5505,0.1585,0.1605,0.1335,0.137,0.163
15,7226,5.3195,4.8865,5.0585,1.537,5.226,0.2445,0.153,0.182,0.8035,0.221,7.519,12.1135,11.8955,10.792,6.2195,0.0945,0.047,0.062,0.0895,0.097
16,9244,2.841,0.2605,3.261,0.296,2.657,0.3515,0.9225,0.3095,0.9205,0.3005,9.6515,10.9675,11.131,11.1535,7.4565,0.106,0.101,0.094,0.1115,0.1115
17,2257,2.4315,2.8075,2.566,0.2425,2.1305,0.3815,0.332,0.3505,0.939,0.3505,8.3995,10.3025,9.438,9.0955,6.366,0.1335,0.1295,0.127,0.126,0.141
18,4295,4.0615,3.9735,4.384,0.641,3.718,0.29,0.2345,0.2325,0.9035,0.2485,8.1865,9.7625,10.3755,10.491,6.504,0.0955,0.072,0.0695,0.0915,0.105
19,8433,5.2795,4.956,5.4625,1.2045,5.3075,0.249,0.238,0.2085,0.8955,0.2035,8.1375,11.863,11.0495,11.673,5.5705,0.092,0.0455,0.0625,0.0965,0.118
