,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,2.118,2.243,1.9,0.7665,1.9525,0.395,0.381,0.367,0.8045,0.3775,4.115,9.059,3.588,7.4565,2.141,0.274,0.255,0.3055,0.1855,0.341
1,5657,3.972,4.1535,3.8435,1.207,3.6085,0.3195,0.299,0.2945,0.792,0.278,5.4735,11.666,7.337,8.6645,3.696,0.2255,0.192,0.2155,0.16,0.278
2,2743,12.719,12.962,12.8305,4.307,15.28,0.2175,0.223,0.2145,0.7365,0.1665,12.9115,18.006,13.649,14.3395,14.9375,0.1095,0.1295,0.1085,0.1005,0.143
3,6049,0.721,0.8535,0.705,0.228,0.6235,0.5525,0.529,0.535,0.875,0.544,4.256,6.976,1.9895,5.7985,0.88,0.4105,0.3905,0.487,0.319,0.5015
4,5852,1.2705,1.483,1.1745,0.3715,1.0655,0.4805,0.4445,0.4435,0.841,0.454,4.3365,8.9195,2.6015,6.664,1.512,0.322,0.284,0.381,0.2515,0.427
5,6659,0.996,1.1175,1.049,0.264,0.8805,0.5175,0.4795,0.481,0.8765,0.486,3.2945,7.9165,2.15,6.669,0.868,0.366,0.348,0.4325,0.286,0.465
6,9076,8.711,10.3505,8.8615,3.2385,8.638,0.26,0.2365,0.2475,0.725,0.2315,9.4995,15.2065,11.0905,12.8695,9.749,0.1525,0.152,0.149,0.1245,0.1885
7,470,0.6775,0.741,0.676,0.259,0.609,0.5625,0.537,0.551,0.8625,0.5575,3.3505,6.134,2.1925,6.168,0.6665,0.4225,0.424,0.4965,0.328,0.54
8,357,1.012,1.136,1.066,0.264,0.894,0.5175,0.476,0.478,0.863,0.482,3.76,6.701,2.5495,7.3415,1.9925,0.338,0.3625,0.4135,0.246,0.427
9,5088,6.534,6.3575,6.4955,2.2115,7.2595,0.291,0.2665,0.275,0.768,0.235,7.5185,12.776,8.521,10.7395,7.526,0.164,0.155,0.1575,0.128,0.2045
10,7605,1.4955,1.628,1.3965,0.4955,1.3985,0.4615,0.431,0.4905,0.8435,0.4275,4.007,8.4955,3.783,6.1085,1.547,0.3135,0.296,0.3405,0.237,0.395
11,9549,0.5845,0.775,0.573,0.224,0.5545,0.6075,0.5675,0.5935,0.8885,0.587,3.592,5.6825,1.3105,6.343,0.668,0.455,0.4355,0.537,0.343,0.535
12,8231,1.004,1.218,0.9885,0.32,0.893,0.513,0.478,0.49,0.867,0.4995,4.169,7.51,2.7705,6.1125,1.125,0.3725,0.3395,0.4165,0.2775,0.443
13,8408,0.6685,0.7945,0.7635,0.2175,0.6005,0.5605,0.5305,0.533,0.8765,0.5425,3.9265,8.1585,2.462,8.3375,0.806,0.426,0.3995,0.4965,0.2825,0.505
14,5763,1.409,1.5695,1.875,0.3645,1.223,0.459,0.417,0.409,0.861,0.4215,4.3555,9.1015,5.7015,6.85,1.3985,0.3015,0.2875,0.344,0.243,0.3995
15,7226,1.795,2.055,2.2155,0.5915,1.576,0.419,0.3935,0.3835,0.8275,0.4005,4.123,8.2895,5.0705,6.54,1.6855,0.309,0.273,0.316,0.2255,0.38
16,9244,0.6245,0.7495,0.736,0.223,0.5685,0.5865,0.5605,0.5595,0.8755,0.571,4.0555,5.921,2.658,6.087,0.7265,0.4135,0.433,0.4815,0.3375,0.525
17,2257,7.2105,6.7505,5.8215,2.1695,6.733,0.276,0.238,0.475,0.7765,0.2175,8.8245,14.183,10.8155,11.407,7.4265,0.162,0.131,0.143,0.1345,0.2045
18,4295,1.1765,1.334,1.1825,0.4145,1.0425,0.4785,0.45,0.4565,0.8415,0.458,3.7245,8.7625,3.3935,6.8075,1.2775,0.3585,0.3075,0.3765,0.2405,0.4215
19,8433,0.8735,1.049,0.8885,0.3245,0.786,0.532,0.4985,0.5475,0.847,0.5005,3.971,7.1555,3.4705,6.9115,0.939,0.3705,0.362,0.406,0.28,0.4605
