,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,3.2155,3.8115,3.4115,0.3935,2.9295,0.3565,0.2965,0.348,0.9185,0.329,8.246,12.7065,8.987,9.518,6.8935,0.178,0.1615,0.178,0.142,0.1655
1,5657,5.255,5.775,5.2355,0.4585,4.8115,0.295,0.274,0.2825,0.9215,0.2535,9.6025,12.761,10.4045,10.5035,8.8545,0.1505,0.162,0.1665,0.1355,0.155
2,2743,12.9585,13.7835,12.1875,4.085,12.9185,0.2155,0.222,0.177,0.7215,0.1905,13.878,18.2425,15.041,15.795,14.83,0.123,0.1205,0.1245,0.1075,0.1215
3,6049,2.09,3.104,2.374,0.169,1.921,0.412,0.3435,0.3885,0.945,0.3915,7.471,12.607,9.1915,8.5745,5.856,0.172,0.163,0.1835,0.133,0.1705
4,5852,2.623,3.2755,2.7255,0.162,2.437,0.4155,0.354,0.398,0.95,0.373,8.522,12.0845,9.1145,8.379,6.2565,0.171,0.165,0.1885,0.1405,0.182
5,6659,2.492,3.1265,2.8065,0.292,2.1245,0.414,0.342,0.3745,0.924,0.383,7.65,11.6895,9.032,8.0345,5.5965,0.188,0.177,0.193,0.177,0.188
6,9076,9.727,12.1155,9.908,1.1525,8.5705,0.255,0.1965,0.2655,0.8935,0.2085,11.376,16.8505,13.913,13.378,9.8135,0.1375,0.129,0.126,0.1085,0.158
7,470,1.896,0.1395,2.2055,0.143,1.771,0.4425,0.946,0.4215,0.944,0.4145,8.0475,9.8315,8.875,9.44,6.208,0.1975,0.169,0.197,0.154,0.1885
8,357,2.298,0.2005,1.5905,0.2005,2.0405,0.4065,0.935,0.6435,0.935,0.395,8.1,10.8015,8.8125,9.2345,5.7645,0.175,0.145,0.155,0.1515,0.1765
9,5088,7.4205,7.412,7.0215,2.0265,7.076,0.2695,0.2115,0.2465,0.794,0.242,10.606,14.1385,11.398,11.814,10.3835,0.1235,0.132,0.1295,0.115,0.14
10,7605,2.7565,3.5565,3.0115,0.343,2.433,0.3795,0.35,0.3685,0.918,0.3635,7.588,12.7275,8.471,8.8785,6.221,0.1945,0.177,0.199,0.157,0.172
11,9549,2.036,0.1345,2.3435,0.145,1.773,0.433,0.95,0.3975,0.949,0.403,8.656,10.0995,9.25,8.4815,6.073,0.171,0.158,0.1815,0.171,0.1935
12,8231,2.249,3.0615,2.583,0.201,2.0585,0.405,0.3425,0.381,0.935,0.363,8.246,11.32,8.3985,8.6035,6.1425,0.1805,0.1735,0.19,0.141,0.188
13,8408,1.934,2.5845,1.3355,0.1405,1.6845,0.426,0.367,0.647,0.9495,0.4,8.1355,12.162,8.7085,8.5135,5.8165,0.184,0.159,0.1535,0.1465,0.1795
14,5763,2.6495,3.176,2.8285,0.263,2.36,0.389,0.335,0.3795,0.9325,0.357,8.2985,13.052,8.886,9.406,6.7575,0.1835,0.158,0.192,0.1445,0.1675
15,7226,3.0415,4.225,3.054,0.2115,2.95,0.3685,0.292,0.4445,0.9415,0.35,8.121,11.58,10.032,9.4415,6.9325,0.168,0.1695,0.173,0.1465,0.1585
16,9244,1.818,0.112,2.142,0.1125,1.719,0.4325,0.955,0.404,0.9545,0.421,8.19,9.1875,8.147,8.6525,6.102,0.1975,0.1765,0.2105,0.172,0.186
17,2257,7.726,8.4535,7.6255,1.709,6.853,0.2715,0.199,0.264,0.832,0.232,11.8375,13.9695,12.791,13.154,9.231,0.1235,0.1335,0.13,0.1,0.127
18,4295,2.274,3.018,2.4895,0.194,2.134,0.406,0.332,0.386,0.9405,0.3805,8.074,12.1075,8.4815,8.8145,6.4025,0.1865,0.158,0.189,0.1355,0.182
19,8433,2.0995,0.182,2.3415,0.1825,2.048,0.426,0.944,0.4035,0.9425,0.3845,8.187,8.8625,8.8005,8.8675,6.6475,0.1735,0.1735,0.1815,0.156,0.1895
